ValueID,StudyID,Pub_Year,Parameter,Source,Source_Type,BMP,BMP_ID,BMP_Class,BMP_SubCat,BMP_Category,Scale,Location,State,Area,Latitude,Longitude,Data_Year,n,Pre,Post,Unit,% Reduction,Log Ratio
1,1,2001,E. coli,Livestock,Agriculture,"Livestock Exclusion, Riparian Restoration",382,Livestock Exclusion,Livestock,Management,Watershed,"Missiquoi River, Lake Champlain",Vermont,1422,44.92306212,-72.76774256,1994-1997,230,,,CFU/100ml,46,
2,1,2001,Fecal coliforms,Livestock,Agriculture,"Livestock Exclusion, Riparian Restoration",382,Livestock Exclusion,Livestock,Management,Watershed,"Missiquoi River, Lake Champlain",Vermont,1422,44.92306212,-72.76774256,1994-1997,230,,,CFU/100ml,52,
3,2,2002,Fecal coliforms,Cropland,Agriculture,"Manure management, Waste Storage Facilities, Conservation Tillage, Grassed waterways",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,462,38.651476,-77.707126,2002,148,103,185,Geomean (CFU/100 mL),,-0.5856
4,2,2002,Fecal coliforms,Livestock,Agriculture,"Manure management, Waste Storage Facilities",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,331,38.639878,-77.718027,2002,151,1077,1367,Geomean (CFU/100 mL),,-0.2384
5,2,2002,Fecal coliforms,Livestock,Agriculture,"Manure management, Waste Storage Facilities, Conservation Tillage, Grassed waterways",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,1163,38.638202,-77.694595,2002,168,1189,669,Geomean (CFU/100 mL),,0.5751
7,2,2002,Streptococci,Livestock,Agriculture,"Manure management, Waste Storage Facilities",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,331,38.639878,-77.718027,2002,167,1302,702,Geomean (CFU/100 mL),,0.6177
8,2,2002,Streptococci,Cropland,Agriculture,"Manure management, Waste Storage Facilities, Conservation Tillage, Grassed waterways",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,462,38.651476,-77.707126,2002,168,531,211,Geomean (CFU/100 mL),,0.9229
9,2,2002,Streptococci,Livestock,Agriculture,"Manure management, Waste Storage Facilities, Conservation Tillage, Grassed waterways",,Multiple,Livestock,Mixed,Watershed,Owl Run watershed ,Virginia,1163,38.638202,-77.694595,2002,183,2354,566,Geomean (CFU/100 mL),,1.4253
11,3,2003,E. coli,Livestock,Agriculture,Low Water Crossing,472,Access Control,Livestock,Structural,Lot,South Central Nebraska,Nebraska,,40.217777,-98.899661,2002,42,3300,1100,MPN/100ml,,1.0986
12,3,2003,Enterococci,Livestock,Agriculture,Low Water Crossing,472,Access Control,Livestock,Structural,Lot,South Central Nebraska,Nebraska,,40.217777,-98.899661,2002,42,3500,3900,MPN/100ml,,-0.1082
13,3,2003,Total coliforms,Livestock,Agriculture,Low Water Crossing,472,Access Control,Livestock,Structural,Lot,South Central Nebraska,Nebraska,,40.217777,-98.899661,2002,42,76000,65000,MPN/100ml,,0.1563
14,4,2003,Enterococci,Livestock,Agriculture,Fenced riaprian area,382,Livestock Exclusion,Livestock,Structural,Watershed,Long Creek watershed,North Carolina,41.8,35.302709,-80.956444,1993-2001,417,34770,13320,CFU/100ml,,0.9595
15,4,2003,Enterococci,Livestock,Agriculture,Fenced riaprian area,382,Livestock Exclusion,Livestock,Structural,Watershed,Long Creek watershed,North Carolina,56.7,35.302709,-80.956444,1993-2001,417,148260,29090,CFU/100ml,,1.6286
16,4,2003,Fecal coliforms,Livestock,Agriculture,Fenced riaprian area,382,Livestock Exclusion,Livestock,Structural,Watershed,Long Creek watershed,North Carolina,41.8,35.302709,-80.956444,1993-2001,417,66910,27770,CFU/100ml,,0.8794
17,4,2003,Fecal coliforms,Livestock,Agriculture,Fenced riaprian area,382,Livestock Exclusion,Livestock,Structural,Watershed,Long Creek watershed,North Carolina,56.7,35.302709,-80.956444,1993-2001,417,360000,32550,CFU/100ml,,2.4033
18,5,2003,E. coli,Residential,Urban,Dry Ponds,378,Detention basins,Detention,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,78,
19,5,2003,E. coli,Residential,Urban,Wet Ponds,378,Retention basins,Detention,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,70,
20,5,2003,E. coli,Residential,Urban,Filtering Practices ,393,Filter Strips,Filtration,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,37,
21,5,2003,E. coli,Residential,Urban,Grassed Waterway,412,Swales,Filtration,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,-25,
22,5,2003,E. coli,Residential,Urban,Wetlands,656,Constructed Wetland,Treatment,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,78,
23,5,2003,E. coli,Residential,Urban,Permeable Surfaces,1003,Drainage systems,Infiltration,Structural,Watershed,Rouge River watershed,Michigan,120693,42.275118,-83.110724,1994-1999,,,,CFU/100ml,5,
24,6,2006,E. coli,Commercial,Urban,Hydrodyamic seperator,1001,Proprietary devices,Drainage,Structural,Lot,Providence,Rhode Island,,41.8350111,-71.43272425,2006,12,,,CFU/100ml,41.7,
25,6,2006,E. coli,Commercial,Urban,Hydrodyamic seperator,1001,Proprietary devices,Drainage,Structural,Lot,Providence,Rhode Island,,41.8350111,-71.43272425,2006,12,,,CFU/100ml,66.8,
26,6,2006,Enterococci,Commercial,Urban,Hydrodyamic seperator,1001,Proprietary devices,Drainage,Structural,Lot,Providence,Rhode Island,,41.8350111,-71.43272425,2006,12,,,CFU/100ml,62.7,
27,6,2006,Enterococci,Commercial,Urban,Hydrodyamic seperator,1001,Proprietary devices,Drainage,Structural,Lot,Providence,Rhode Island,,41.8350111,-71.43272425,2006,12,,,CFU/100ml,71.4,
